id,field_abstract,field_alt_title,field_classification,field_copyright_date,field_dewey_classification,field_edition,field_edtf_date_created,field_edtf_date_issued,field_extent,field_full_title,field_geographic_subject,field_identifier,field_isbn,field_language,field_lcc_classification,field_linked_agent,field_local_identifier,field_mode_of_issuance,field_note,field_oclc_number,field_physical_form,field_pid,field_place_published,field_place_published_country,field_resource_type,field_rights,field_subject,field_subjects_name,field_table_of_contents,title,file,parent_id,field_weight,field_member_of,field_model
lsu-ag-agexp:8656,,,,,,,,1897.0,208 pages,"Sugar cane: a treatise on the history, botany & agriculture of sugar cane, and the chemistry and manufacture of its juices into sugar, and other products",,,,English,,relators:ctb:person:|relators:ctb:corporate_body:|relators:pbl:corporate_body:State Bureau of Agriculture & Immigration,SB231S931897V1,,"host: LSU Agricultural Experiment Station Sugar Research Materials https://www.louisianadigitallibrary.org/islandora/object/lsu-ag-agexp:collection|preferred citation: Sugar cane, Louisiana Digital Library, Baton Rouge, La.",,monographs,lsu-ag-agexp:8656,New Orleans (La.),,"some test Value, Should not be empty",use and reproduction: No Copyright - United States|use and reproduction: Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,subject:Sugarcane,,,"Sugar cane: a treatise on the history, botany & agriculture of sugar cane, and the chemistry and manufacture of its juices into sugar, and other products",,,,,Language
lsu-ag-agexp:865,,,,,,,,,,lsu-ag-agexp:831-11,,,,,,,,,,,,lsu-ag-agexp:865,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:831-11,,,,,Language
lsu-ag-agexp:866,,,,,,,,,,lsu-ag-agexp:831-34,,,,,,,,,,,,lsu-ag-agexp:866,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:831-34,,,,,Language
lsu-ag-agexp:867,,,,,,,,1947.0,,"Financial results of the operation of large sugar cane farms in Louisiana for nine years, 1937 to 1945.",,,,,,relators:aut:person:|relators:ctb:person:|relators:ctb:corporate_body:,,,"host: LSU Agricultural Experiment Station Sugar Research Materials http://louisianadigitallibrary.org/islandora/object/lsu-ag-agexp:collection Louisiana Bulletin. Ser. 2, no. 419 (1947) Volume 419",,,lsu-ag-agexp:867,,,"some test Value, Should not be empty",use and reproduction: This item is in the public domain.|use and reproduction: Please submit an LSU Special Collections reference ticket at https://askus.lib.lsu.edu/special for any questions or comments about this digital object.,subject:Agriculture -- Louisiana|subject:Sugar -- Research -- Louisiana|subject:Sugar -- Manufacture and refining -- Periodicals|subject:Sugarcane -- Louisiana|subject:Sugarcane -- Louisiana -- Periodicals|subject:Sugarcane industry -- Louisiana|subject:Sugar factories -- Louisiana,,,"Financial results of the operation of large sugar cane farms in Louisiana for nine years, 1937 to 1945.",,,,,Language
lsu-ag-agexp:868,,,,,,,,,,lsu-ag-agexp:867-29,,,,,,,,,,,,lsu-ag-agexp:868,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-29,,,,,Language
lsu-ag-agexp:869,,,,,,,,,,lsu-ag-agexp:867-33,,,,,,,,,,,,lsu-ag-agexp:869,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-33,,,,,Language
lsu-ag-agexp:86,,,,,,,,,,lsu-ag-agexp:42-45,,,,,,,,,,,,lsu-ag-agexp:86,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:42-45,,,,,Language
lsu-ag-agexp:870,,,,,,,,,,lsu-ag-agexp:867-32,,,,,,,,,,,,lsu-ag-agexp:870,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-32,,,,,Language
lsu-ag-agexp:871,,,,,,,,,,lsu-ag-agexp:867-43,,,,,,,,,,,,lsu-ag-agexp:871,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-43,,,,,Language
lsu-ag-agexp:872,,,,,,,,,,lsu-ag-agexp:867-12,,,,,,,,,,,,lsu-ag-agexp:872,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-12,,,,,Language
lsu-ag-agexp:873,,,,,,,,,,lsu-ag-agexp:867-25,,,,,,,,,,,,lsu-ag-agexp:873,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-25,,,,,Language
lsu-ag-agexp:874,,,,,,,,,,lsu-ag-agexp:867-19,,,,,,,,,,,,lsu-ag-agexp:874,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-19,,,,,Language
lsu-ag-agexp:875,,,,,,,,,,lsu-ag-agexp:867-27,,,,,,,,,,,,lsu-ag-agexp:875,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-27,,,,,Language
lsu-ag-agexp:876,,,,,,,,,,lsu-ag-agexp:867-40,,,,,,,,,,,,lsu-ag-agexp:876,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-40,,,,,Language
lsu-ag-agexp:877,,,,,,,,,,lsu-ag-agexp:867-9,,,,,,,,,,,,lsu-ag-agexp:877,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-9,,,,,Language
lsu-ag-agexp:878,,,,,,,,,,lsu-ag-agexp:867-36,,,,,,,,,,,,lsu-ag-agexp:878,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-36,,,,,Language
lsu-ag-agexp:879,,,,,,,,,,lsu-ag-agexp:867-16,,,,,,,,,,,,lsu-ag-agexp:879,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-16,,,,,Language
lsu-ag-agexp:87,,,,,,,,,,lsu-ag-agexp:42-1,,,,,,,,,,,,lsu-ag-agexp:87,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:42-1,,,,,Language
lsu-ag-agexp:880,,,,,,,,,,lsu-ag-agexp:867-41,,,,,,,,,,,,lsu-ag-agexp:880,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-41,,,,,Language
lsu-ag-agexp:881,,,,,,,,,,lsu-ag-agexp:867-46,,,,,,,,,,,,lsu-ag-agexp:881,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-46,,,,,Language
lsu-ag-agexp:882,,,,,,,,,,lsu-ag-agexp:867-24,,,,,,,,,,,,lsu-ag-agexp:882,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-24,,,,,Language
lsu-ag-agexp:883,,,,,,,,,,lsu-ag-agexp:867-15,,,,,,,,,,,,lsu-ag-agexp:883,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-15,,,,,Language
lsu-ag-agexp:884,,,,,,,,,,lsu-ag-agexp:867-31,,,,,,,,,,,,lsu-ag-agexp:884,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-31,,,,,Language
lsu-ag-agexp:885,,,,,,,,,,lsu-ag-agexp:867-3,,,,,,,,,,,,lsu-ag-agexp:885,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-3,,,,,Language
lsu-ag-agexp:886,,,,,,,,,,lsu-ag-agexp:867-4,,,,,,,,,,,,lsu-ag-agexp:886,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-4,,,,,Language
lsu-ag-agexp:887,,,,,,,,,,lsu-ag-agexp:867-30,,,,,,,,,,,,lsu-ag-agexp:887,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-30,,,,,Language
lsu-ag-agexp:888,,,,,,,,,,lsu-ag-agexp:867-17,,,,,,,,,,,,lsu-ag-agexp:888,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-17,,,,,Language
lsu-ag-agexp:889,,,,,,,,,,lsu-ag-agexp:867-35,,,,,,,,,,,,lsu-ag-agexp:889,,,"some test Value, Should not be empty",,,,,lsu-ag-agexp:867-35,,,,,Language
